Couch ID,Type of Birth
c8c626debf4ddd1828fed737690f1d30,Second Twin
c8c626debf4ddd1828fed737690f22bb,Twin
c8c626debf4ddd1828fed73769d8bd2d,Twin
c8c626debf4ddd1828fed73769d8c198,Second Twin
c8c626debf4ddd1828fed73769d90cc7,""
c8c626debf4ddd1828fed73769d9d4ec,Twin
c8c8082bbfefb0d2e2af9992610dcba5,Second Twin
c8c8082bbfefb0d2e2af9992616bfd09,Twin
c8c8082bbfefb0d2e2af999261e6ccb4,Twin
c8e0a55c0d039d47c360f72c7837ceb6,Twin
c8e0a55c0d039d47c360f72c78b44459,Second Twin
c8e22db3a97b3600d28ada113bd090fa,Second Twin
c8e22db3a97b3600d28ada113bd0a01f,Twin
c903023ec1df7273dc80eba9b1e0c72d,Twin
c95740235d1142b19756650520f09c15,Second Twin
c95740235d1142b19756650520f0a06d,Twin
c9602a3449d5f2b474dc3167209877f0,Second Twin
c9602a3449d5f2b474dc316720987f2b,Twin
c9602a3449d5f2b474dc31672099f916,Second Twin
c9602a3449d5f2b474dc31672099fdf3,Twin
c9decf729c9febc7f3ce9f6ca0fedfa7,""
c9e0c7c3dcc0c60e2a2e493d92ed85c4,Twin
c9e0c7c3dcc0c60e2a2e493d92eed5b4,Second Twin
c9e0c7c3dcc0c60e2a2e493d92eee38c,Twin
c9e0c7c3dcc0c60e2a2e493d92eef9ab,Twin
c9e0c7c3dcc0c60e2a2e493d92ef03d0,Twin
ca0c7f395b8146572b896742ae2f316f,Twin
ca0c7f395b8146572b896742ae6ddc77,Second Twin
ca11eaff88bb0a164ec4c1620d8d5f40,Second Twin
ca313d26572f7e81763b7a135dfc7d4e,Second Twin
ca5b480f15df90c60be7b3e3cdb89313,""
ca67211fe0c61c9585b14629e1f1235a,Second Twin
ca67211fe0c61c9585b14629e1f123f7,Twin
ca80634049e006a3b2ba7938b7c32a6c,Twin
ca80634049e006a3b2ba7938b7c38b73,Second Twin
ca80634049e006a3b2ba7938b7c390a7,""
ca9081265345497805b807b343a7fc87,Second Twin
ca9081265345497805b807b343a80ee0,Second Twin
ca9081265345497805b807b343a97d1e,Second Twin
cab87ac19163e0cd474f3dadf0af1957,Second Twin
cab87ac19163e0cd474f3dadf0af1c3a,Twin
caf40cb4a59283cda97c7800aad2fc9e,Twin
caff09e51e0e9b2d5e32dea57437e375,Twin
caff09e51e0e9b2d5e32dea574381d26,Twin
cb5b28ae0c236f468ec52c46dd921339,Second Twin
cb5b28ae0c236f468ec52c46dd921c7e,Twin
cb5b28ae0c236f468ec52c46dd923bff,Second Twin
cb609e6e4f447ec420b46be52ea1aaf2,Second Twin
cb609e6e4f447ec420b46be52ea1b0bb,Twin
cb6498bc7a11adfb7370b2e9c568d951,""
cb6498bc7a11adfb7370b2e9c5e7d5a1,Second Twin
cb6498bc7a11adfb7370b2e9c5e7db80,Twin
cb7717f54f4cb745e57b7879ac3348c5,Second Twin
cb7717f54f4cb745e57b7879ac334a61,Twin
cbd62f40f0f29966112a89f68da5b695,Second Twin
cbd62f40f0f29966112a89f68da5bb4c,Twin
cbfc732942eadeeee459a65f3a651b35,Second Twin
cbfc732942eadeeee459a65f3a65251f,Twin
cc0efa19c6cebc0f2486baaf68b8bcfc,""
cc2257078cabba981486d4ac4cb7509c,Second Twin
cc2f1f6f2583f29d0421d0bf6c1275b2,Third Triplet
cc2f1f6f2583f29d0421d0bf6c1280b1,Second Triplet
cc58e0899ee5dc10825c0366d1e5395b,Second Twin
